孩子注意力不集中，上课容易走神抛锚，写作业不喜欢动脑子，但是又有想提高自己学习打欲望，可是底子又太差，也感觉再努力，又不是特别能管住自己，所有似乎起色很小，面对这样的孩子该怎样正确引导他，让他快速进步？？？,班里有个控制不住情绪的孩子，如果老师和同学不满足他，他就哭闹，影响上课，可怎么教育他。
学生制定假期计划，书面上很合理，执行起来还是要靠监督，自觉性该如何培养？,小学六年级的学生，对于老师的批评教育总是抱着无所谓的态度，有什么更好的办法引导学生？
基地校和项目校有啥子区别？我们学校是基地校，我们自己选择结对学校还是由好老师办公室安排？,小学六年级的学生对老师发布的任务置若罔闻，还干扰其他学生完成，不停的说些与课堂教学无关的话，与之沟通东拉西扯，哪位同仁有解决此类问题的高招？
班级里孩子学习的速度参差不齐，我们如何开展学习，使每一个孩子都不掉队？,班主任班级管理应如何发挥班干部的作用？
小学六年级的学生，对于老师的批评教育总是抱着无所谓的态度，有什么更好的办法引导学生？,期末复习阶段了，怎样来合理的复习呢？
江西省是国内最早开展家校合作的两个省份之一。江西的家校合作不仅有政府层面的系统规划，更有学术层面的理论与研究，还有各级单位的支持，以及学校、老师、家长和学生共同的实践经验，着实宝贵。“江西模式”在已往积累的基础上愈加成熟、稳定，也在推进中不断进步和发展。您认为家校合作的“江西模式”有哪些经验可以借鉴呢？,尊敬的各位教师前辈，在这个物欲横流的社会上，大多数人只看到了我们作为老师，光鲜亮丽的外表，或者说只看到了表面的我们，完全不知道，我们在工作中是多么辛苦，有时候忙的连水都喝不上一口。我常常用一句话来勉励我自己，工作虐我千百遍，我待工作如初恋??。我想请问，大家是靠什么支撑着在这个岗位上一做就是几十年呢？
现在孩子的阅读习惯好难养成，老师督促一下，他们读一下，不督促就没有课外阅读的习惯，。回家后家长也不积极引导，现在留守儿童比较多，爷爷奶奶、外公外婆根本就管不了，不是看电视，就是玩手机。一到写作时，语言贫乏，内容空洞，不能表达自己的真情实感。怎样让孩子们养成良好的阅读习惯呢？一直以来比较困惑。,学生上课接话严重，怎么办，，.，，
在孩子作业的质量上，我们想让他高效地完成作业，但他有时候字迹特别潦草，口算什么的也会出现一些错误，马虎不认真，那这个时候我们作为家长应该如何培养孩子的细心品质呢？,我是一个文盲妈妈，想求助大家能教我点学英语的诀窍或有什么好的学英语方法，比喻用什么方法就能自己把听力的题做了，谢谢万能的微信网络帮帮我的孩子。我的孩子刚升三年级的学生。
请大家推荐几本小学生寒假读物,班主任班级管理应如何发挥班干部的作用？
如何改变学差生的学习态?,如何不让孩子们在百度作业帮上查答案？
教师如何引领学生读一整本书,孩子学习没兴趣，怎样让被动学习变为主动学习？
如何能养成良好的行为习惯的尝试背景：班上有一名学生叫李铭行为习惯不是很好，吵架事件时有发生，学生对待学习多态度散漫，纪律性不强，秩序零乱，课堂上比较嘈杂。做不住椅子，不是前后桌说话，要不就自言自语，不管是上课还是下课，总能听到孩子们说“老师，×××又怎么样了”的声音。因此在班级设置了“端坐之星”评比，用来表扬在课堂纪律方面表现好的孩子。可是对于他来说收效甚微。伊春实验刘艳丽,暑假回来上课孩子精力不集中怎么办？
现在的学生不比我们那时，自觉性很差，听课的注意力更不集中，如何能改善这一点？,我是一名小学科学教师，我想问一问有关科学实验中实验记录的问题，我个人觉得这个实验记录是个“鸡肋”，在课堂上写完的话会耽误很多时间，影响本课教学进度，而且部分学生还完成不了。如果不完成的话“上面，上上面”还做未一个项目要检查，来了之后还会找到好~~~多问题，字写得不好，表格设计不合理……，大家是怎样对待实验记录的？好方法分享一下啊！
特殊孩子如何教育，我所教学的是一年级，在班上有个特别的孩子，上课不遵守规则，要么就是玩东西，要么就是撕下书和本子玩，什么办法都使用了，就是不能约束自己，我们釆取奖励，认真听讲就奖励礼品的办法，和家长沟通多次，得知孩子因为从小生病，多次手术治疗，可能对孩子有影响，但孩子智力没问题，但孩子的行为真的让人头痛，下课后就倒处跑，不怕老师，不怕高年级同学，吐口水淋人，扮鬼脸吓女同学，吃树叶，吃青草，还吃硬币,高强度预警！复习期倦怠要怎么办？期末复习将进入尾声……对于老师和学生都是一场拉锯战。来自学生的吐槽！槽点一：复习内容枯燥槽点二：复习时间持续太长王迪怡：这些我都会，挺无聊的。付明：天天做题，好无聊。面对学生的倦怠现象，您会采取哪些做法？
